source_file,list_name,flow_uuid,flow_name,context,unit,cas_number,synonyms
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,tellurium,Resources/ground/Non-renewable element resources,kg,,"Te;テルル（資源）;Te reserves;tellurium reserves,Te;テルル（資源）;Te reserves;tellurium reserves"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,titanium,Resources/ground/Non-renewable element resources,kg,,"Ti;チタン（資源）;Ti reserves;titanium reserves,Ti;チタン（資源）;Ti reserves;titanium reserves"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,uranium,Resources/ground/Non-renewable element resources,kg,,"U;ウラン（資源）;U reserves;uranium reserves,U;ウラン（資源）;U reserves;uranium reserves"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,vanadium,Resources/ground/Non-renewable element resources,kg,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,tungsten,Resources/ground/Non-renewable element resources,kg,,"W;タングステン（資源）;W reserves;tungsten reserves,W;タングステン（資源）;W reserves;tungsten reserves"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,zinc,Resources/ground/Non-renewable element resources,kg,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,zirconium,Resources/ground/Non-renewable element resources,kg,,"Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves,Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,"metallurgical coal, 29.0MJ/kg",Resources/ground/Non-renewable energy resources,kg,,
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,"hard coal, 25.7MJ/kg",Resources/ground/Non-renewable energy resources,kg,,
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,"brown coal, 17.2MJ/kg",Resources/ground/Non-renewable energy resources,kg,,",lignite"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,"crude oil, 44.7MJ/kg",Resources/ground/Non-renewable energy resources,kg,,
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,"natural gas, 54.6MJ/kg",Resources/ground/Non-renewable energy resources,kg,,
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,"Natural Gas Liquids, 46.5MJ/kg",Resources/ground/Non-renewable energy resources,kg,,"NGL,NGL"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,geothermal energy,Resources/ground/Renewable energy resources,MJ,,
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,kaolin,Resources/ground/Non-renewable material resources,kg,,"Al2(Si2O5)(OH2);Aluminum silicate dihydrate,Al2(Si2O5)(OH2);Aluminum silicate dihydrate"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,rock salt,Resources/ground/Non-renewable material resources,kg,,"NaCl;rock salt;岩塩,NaCl;rock salt;岩塩"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,"rock, except limestone",Resources/ground/Non-renewable material resources,kg,,"岩石;rock (except limestone);rock,rock (except limestone);rock"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,quartz sand,Resources/ground/Non-renewable material resources,kg,,"珪砂;けい砂;SiO2;Silicon dioxide,SiO2;Silicon dioxide"
Mapping/Input/Flowlists/IDEA_EFv2.3.csv,IDEA_EFv2.3,,diatomite,Resources/ground/Non-renewable material resources,kg,,"けいそう岩;けいそう土;SiO2;Diatomaceous silica,SiO2;Diatomaceous silica"
