source_file,list_name,flow_uuid,flow_name,context,unit,cas_number,synonyms
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"2,4-DB",soil/agricultural,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"2,4-DB",water/ground-,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"2,4-DB",water/surface water,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"2,4-di-tert-butylphenol",water/unspecified,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"2-Amino-3-chloro-1,4-naphthoquinone",soil/agricultural,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,"air/low population density, long-term",kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,air/lower stratosphere + upper troposphere,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,air/non-urban air or from high stacks,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,air/unspecified,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,air/urban air close to ground,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,water/ground-,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,"water/ground-, long-term",kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,water/ocean,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,water/surface water,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Aminopropanol,water/unspecified,kg,,L-alalinol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-chlorobenzaldehyde,water/unspecified,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl pentane,"air/low population density, long-term",kg,,Isohexane
